Dragonstone,13
Qarth,2
Braavos,8
Dorne,5
Citadel,2
Volantis,2
Norvos,2
Eyrie,37
Highgarden,11
Vale,27
Trident,13
Tyrosh,1
Riverrun,33
Harrenhal,7
Lannisport,5
Asshai,5
Lorath,1
Westeros,2
Hightower,1
Winterfell,63
Pentos,11
Qohor,2
Lys,2
Myr,8
Valyria,4
Oldtown,4
Pyke,5
